2,"[1, 1]"
3,"[1, 3, 2]"
4,"[1, 6, 11, 6]"
5,"[1, 10, 35, 50, 24]"
6,"[1, 15, 85, 225, 274, 120]"
7,"[1, 21, 175, 735, 1624, 1764, 720]"
8,"[1, 28, 322, 1960, 6769, 13132, 13068, 5040]"
9,"[1, 36, 546, 4536, 22449, 67284, 118124, 109584, 40320]"
10,"[1, 45, 870, 9450, 63273, 269325, 723680, 1172700, 1026576, 362880]"
11,"[1, 55, 1320, 18150, 157773, 902055, 3416930, 8409500, 12753576, 10628640, 3628800]"
12,"[1, 66, 1925, 32670, 357423, 2637558, 13339535, 45995730, 105258076, 150917976, 120543840, 39916800]"